H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905248_LamaGlama	SRR11905268_LamaGlama	SRR11097120_LamaGlama	168722	167790	0.002769589	0.002769589	0.01215352	0.2278837	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	235512	147639	0.229343	0.229343	0.01109449	20.67179	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	236147	147398	0.2313914	0.2313914	0.01079347	21.43808	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	235866	146548	0.2335636	0.2335636	0.01066641	21.89711	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	220938	136749	0.2353706	0.2353706	0.01038441	22.66575	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905268_LamaGlama	SRR11097120_LamaGlama	230888	145850	0.2257219	0.2257219	0.0102999	21.91495	
SRR11905246_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	163062	164454	-0.004250174	-0.004250174	0.01089191	-0.3902139	
SRR11905247_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	164623	164285	0.001027643	0.001027643	0.0118242	0.08691017	
SRR11905248_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	168121	164081	0.01216128	0.01216128	0.01141305	1.065559	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	237747	146605	0.2371316	0.2371316	0.01095808	21.63988	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	238190	146246	0.2391659	0.2391659	0.01092025	21.90115	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	237333	144842	0.2420122	0.2420122	0.01060704	22.81618	
